"n_years","AF_total_cost","AF_total_investment_cost","AF_total_running_cost","AF_insurance","AF_total_running_cost.1","AF_total_einkorn_cost","AF_total_wheat_cost","AF_total_dinkel_cost","ES3_application","AF_pruning","AF_root_pruning","AF_annual_irrigation_cost","AF_mowing_treerow","AF_fruit_harvest","AF_total_benefit","AF_tree_benefit","AF_einkorn_benefit","AF_wheat_benefit","AF_dinkel_benefit","ES3_subsidy","AF_chance_market_fluc","AF_bottom_line_benefit","AF_bottom_line_benefit_farm"
60,40392.3941540483,34174.3238918226,5801.22679049357,416.843471732198,5801.22679049357,5798.4559133492,0,0,0,0,0,2.77087714437045,0,0,51531.8479710188,42.404576664977,51047.0388176888,0,0,400,1,11139.4538169705,11097.0492403055
60,5360.32753101546,0,5036.21826499683,324.109266018631,5036.21826499683,0,5033.50370130131,0,0,0,0,2.71456369551961,0,0,40067.6766102764,57.4546990011366,0,39552.7672122741,0,400,1,34707.3490792609,34649.8943802598
60,5688.66665713687,0,5208.31723338464,480.349423752231,5208.31723338464,0,0,5205.67888316003,0,0,0,2.63835022460874,0,0,59382.7063547471,67.6919426150316,0,0,58847.3224695171,400,1,53694.0396976102,53626.3477549952
60,5371.14497107409,0,4956.77124821457,414.373722859521,4956.77124821457,4954.27959291009,0,0,0,0,0,1.23839832460472,0,1.25325697987973,51226.5277919489,14303.4751976788,36460.9788301802,0,0,400,1,45855.3828208748,45793.3090567849
60,6412.83826812407,0,5908.52366330966,504.31460481441,5908.52366330966,0,5905.93268182597,0,0,0,0,1.29767666893343,0,1.29330481475778,62345.3773591945,35370.5904601989,0,26520.6867587916,0,400,1,55932.5390910705,55878.4389508664
60,6174.44198385836,0,5203.04780037813,971.394183480224,5203.04780037813,0,0,5200.63195929488,0,0,0,1.13465259084724,0,1.28118849240526,120087.612683532,74293.4384744448,0,0,45335.6696605523,400,1,113913.170699673,113854.666151139
60,7572.27619668202,0,6171.08817284474,1401.18802383728,6171.08817284474,6168.68116096532,0,0,0,0,0,1.22088201813848,0,1.18612986127895,173220.436734064,113122.44180099,59636.4599762521,0,0,400,1,165648.160537382,165586.62558056
60,11071.7825530662,0,9753.04470522606,1318.73784784016,9753.04470522606,0,9750.49132396925,0,0,0,0,1.31696643238999,0,1.23641482441609,163027.618031611,96357.7678209029,0,66213.3679405849,0,400,1,151955.835478545,151899.353208422
60,7875.50727930987,0,6412.94576785311,1462.56151145676,6412.94576785311,0,0,6410.54178276324,0,0,0,1.29609118387253,0,1.10789390599572,180807.671386717,108188.269639714,0,0,72163.3904390991,400,1,172932.164107407,172876.152799503
60,6150.9760735196,0,4820.20698086608,1330.76909265352,4820.20698086608,4817.57489831595,0,0,0,0,0,1.44904780113525,0,1.1830347489908,164514.968369732,132972.48608081,30938.5778205136,0,0,400,1,158363.992296213,158160.087827804
60,6727.77260269778,0,5374.34204773562,1353.43055496216,5374.34204773562,0,5371.71644557804,0,0,0,0,1.36392838211254,0,1.26167377546517,167316.468476324,142967.931011683,0,23749.0383095406,0,400,1,160588.695873626,160389.196718526
60,8742.42596421369,0,7067.29443380929,1675.1315304044,7067.29443380929,0,0,7064.70897461457,0,0,0,1.31435841040598,0,1.27110078431371,207086.422626567,137297.228664727,0,0,69153.0721179518,400,1,198343.996662354,198107.874818465
60,6096.32320479558,0,4620.10438897117,1476.21881582441,4620.10438897117,4617.53670024998,0,0,0,0,0,1.43625648009564,0,1.13143224109582,182496.041674593,147282.951157813,34586.5906099272,0,0,400,1,176399.718469797,176173.218562945
60,6999.48964891769,0,5707.13445426239,1292.3551946553,5707.13445426239,0,5704.40621833244,0,0,0,0,1.40322944633279,0,1.32500648362554,159766.08950786,123427.319552409,0,35724.7899349921,0,400,1,152766.599858942,152552.619838483
60,5034.0134940535,0,3644.83717024173,1389.17632381177,3644.83717024173,0,0,3642.13189514334,0,0,0,1.45075033531593,0,1.2545247630689,171735.502600357,119522.525074537,0,0,51496.7032303769,400,1,166701.489106304,166385.21481086
