"n_years","Treeless_total_arable_total_cost","Treeless_total_einkorn_cost","Treeless_total_wheat_cost","Treeless_total_dinkel_cost","PPcost_einkorn","PPcost_wheat","PPcost_dinkel","Treeless_insurance","Treeless_total_benefit","Treeless_einkorn_benefit","Treeless_wheat_benefit","Treeless_dinkel_benefit","Treeless_bottom_line_benefit"
60,11710.8761895235,2506.83117318271,0,0,8895.49249733,0,0,308.552519010805,38144.4896681862,38144.4896681862,0,0,26433.6134786627
60,14585.8756446188,0,2411.38607111216,0,0,11985.8977359395,0,188.591837567058,23314.4730843341,0,23314.4730843341,0,8728.59743971531
60,9069.98564931492,0,0,3139.44421596749,0,0,5626.18299885902,304.358434488421,37626.0002575521,0,0,37626.0002575521,28556.0146082372
60,11542.0075703484,2893.0779249132,0,0,8216.00561532565,0,0,432.924030109505,53519.7905580646,53519.7905580646,0,0,41977.7829877163
60,9676.68271086621,0,1721.85432023813,0,0,7835.64310501138,0,119.185285616709,14734.1590675757,0,14734.1590675757,0,5057.4763567095
60,5677.65369532886,0,0,2697.41804142493,0,0,2915.99854525812,64.2371086458097,7941.24687398335,0,0,7941.24687398335,3364.65917556693
60,9736.71255696836,2326.55753224783,0,0,7128.8012953865,0,0,281.353729334026,34782.0671051193,34782.0671051193,0,0,25045.3545481509
60,9134.27844973821,0,1807.66282526825,0,0,7131.95002028782,0,194.665604182139,24065.3362717056,0,24065.3362717056,0,14931.0578219673
60,7332.39239382802,0,0,2501.66522561361,0,0,4572.21845806593,258.508710148484,31957.8749673072,0,0,31957.8749673072,24625.4825734792
60,12113.8206754416,2169.17806899405,0,0,9401.1246498798,0,0,543.517956567789,67191.851634333,67191.851634333,0,0,55078.0309588914
60,9868.02187453776,0,1937.37472811493,0,0,7741.91260571339,0,188.734540709435,23332.1146143967,0,23332.1146143967,0,13464.0927398589
60,7479.52814837068,0,0,2437.22439670614,0,0,4972.35205565733,69.9516960072124,8647.70689337907,0,0,8647.70689337907,1168.17874500839
60,10961.7919727874,2993.31164729043,0,0,7452.36873301252,0,0,516.111592484416,63803.7678974954,63803.7678974954,0,0,52841.975924708
60,12318.5067496923,0,2968.81320888751,0,0,9061.88827777859,0,287.805263026152,35579.6313611241,0,35579.6313611241,0,23261.1246114318
60,5489.78739039792,0,0,1912.24204967231,0,0,3460.28686109607,117.258479629539,14495.9596475683,0,0,14495.9596475683,9006.17225717037
60,10812.3306120621,2423.96375797737,0,0,7799.60806122348,0,0,588.758792861235,72784.7037624176,72784.7037624176,0,0,61972.3731503555
60,9620.28859549026,0,2462.97356677625,0,0,6965.03002754313,0,192.285001170883,23771.0366586022,0,23771.0366586022,0,14150.748063112
60,7703.00135200909,0,0,2199.16875394416,0,0,5260.66716807017,243.165429994759,30061.0776467857,0,0,30061.0776467857,22358.0762947766
60,7195.86167059542,2248.64781792872,0,0,4671.84309811193,0,0,275.370754554769,34042.4279656171,34042.4279656171,0,0,26846.5662950217
60,6244.22172735591,0,2189.70655426383,0,0,3990.51252222292,0,64.0026508691569,7912.2622710774,0,7912.2622710774,0,1668.04054372149
60,7754.38512045767,0,0,3332.12306492563,0,0,4214.88418407889,207.377871453153,25636.8773148089,0,0,25636.8773148089,17882.4921943512
60,10747.5174935482,2998.91131915984,0,0,7344.24846467698,0,0,404.357709711402,49988.3084078723,49988.3084078723,0,0,39240.7909143241
60,11482.4629651288,0,2410.41528118753,0,0,8889.10303559276,0,182.944648348476,22616.3450914301,0,22616.3450914301,0,11133.8821263013
60,7074.66476811588,0,0,2547.58563669791,0,0,4376.71225005478,150.366881363185,18588.9519585952,0,0,18588.9519585952,11514.2871904793
60,11876.8278603708,2773.25951976535,0,0,8601.84140076337,0,0,501.726939842123,62025.4799228794,62025.4799228794,0,0,50148.6520625086
60,8693.74177485994,0,1996.74512484311,0,0,6536.69130055206,0,160.305349464778,19817.5849155847,0,19817.5849155847,0,17033.8651318299
60,5254.78533520872,0,0,3048.60156789642,0,0,2084.81796703613,121.365800276169,15003.7229627782,0,0,15003.7229627782,9748.9376275695
60,10707.4043680247,2707.59196557545,0,0,7603.54868404087,0,0,396.263718408387,48987.697009132,48987.697009132,0,0,54829.1424248279
60,11654.3208791375,0,3318.04481116742,0,0,8147.30448617722,0,188.97158179282,23361.4185759559,0,23361.4185759559,0,11707.0976968185
